水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
Ⅱ类,29.5,7.38,6.07,174.8,16.9,2.74,0.064,0.066,1.91
Ⅴ类,32.6,7.14,2.29,301.9,35.6,2.77,0.141,0.123,2.25
Ⅱ类,25.0,7.33,7.94,150.3,16.2,1.24,0.0001,0.054,1.51
Ⅱ类,29.2,8.65,9.92,105.3,1.1,1.36,0.011,0.038,1.12
Ⅴ类,32.3,7.28,2.56,353.4,29.3,4.86,0.077,0.114,3.06
Ⅲ类,34.5,7.3,5.04,208.4,23.7,2.51,0.105,0.076,2.31
Ⅲ类,32.8,7.45,6.05,125.4,16.2,4.47,0.032,0.049,0.86
Ⅳ类,33.2,7.25,3.48,223.7,43.3,4.01,0.258,0.124,2.58
Ⅰ类,27.6,7.41,8.19,47.6,25.4,1.68,0.014,0.02,0.72
Ⅲ类,34.0,6.43,5.51,76.2,35.1,1.18,0.055,0.045,1.45
Ⅳ类,29.1,7.98,3.44,9919.0,1518.0,1.63,0.263,0.139,1.79
Ⅱ类,30.9,6.84,7.51,71.8,15.7,0.53,0.018,0.021,0.87
Ⅰ类,30.2,7.56,8.52,47.2,6.2,1.58,0.026,0.018,0.59
Ⅴ类,31.7,7.63,2.49,31540.0,1277.0,1.43,0.365,0.067,2.14
Ⅳ类,32.0,7.27,3.08,657.8,26.7,4.51,0.342,0.112,2.65
Ⅲ类,31.1,7.59,6.03,606.7,13.4,2.88,0.046,0.105,0.74
Ⅳ类,33.1,7.06,3.1,483.3,22.2,4.64,0.1,0.104,1.72
Ⅴ类,33.0,7.2,2.15,441.7,50.8,4.93,0.33,0.153,2.89
Ⅴ类,31.2,6.98,2.44,509.8,20.8,4.28,0.117,0.133,1.65
Ⅴ类,31.5,7.18,2.31,408.7,26.8,3.57,0.148,0.163,3.07
劣Ⅵ类,32.5,7.19,1.92,624.9,48.7,6.14,0.558,0.175,4.25
劣Ⅵ类,32.6,7.32,1.41,539.1,19.2,6.61,0.547,0.22,3.13
Ⅴ类,31.5,7.12,2.61,541.5,43.9,4.69,0.146,0.102,2.16
劣Ⅵ类,32.1,7.24,1.53,488.9,24.4,4.98,0.38,0.216,2.26
Ⅴ类,32.8,7.38,2.73,536.4,54.8,6.22,0.017,0.17,2.81
Ⅳ类,33.0,7.41,3.08,502.9,23.9,6.27,0.05,0.21,2.97
Ⅴ类,31.2,7.11,2.19,309.0,69.3,4.14,0.126,0.145,2.72
Ⅳ类,31.2,7.23,3.5,291.8,37.5,3.02,0.243,0.053,1.99
Ⅱ类,32.5,8.84,8.17,290.7,41.5,3.8,0.054,0.058,1.28
Ⅳ类,33.4,7.22,3.39,349.5,45.2,3.67,0.095,0.107,3.12
Ⅲ类,30.9,7.08,5.54,177.1,12.3,1.45,0.043,0.04,2.4
Ⅱ类,32.8,8.61,6.29,250.9,41.2,3.31,0.079,0.038,1.97
Ⅱ类,24.9,6.86,7.26,121.2,7.4,1.85,0.044,0.028,1.44
Ⅱ类,28.5,6.45,6.86,162.1,6.7,1.85,0.048,0.027,1.86
Ⅲ类,30.9,6.57,5.09,161.6,6.3,1.8,0.088,0.044,2.04
Ⅳ类,32.5,7.44,4.42,335.5,35.0,3.98,0.186,0.069,1.44
Ⅳ类,32.2,7.58,4.31,371.6,25.1,3.78,0.051,0.067,2.41
Ⅴ类,31.9,7.19,2.51,341.2,17.8,3.83,1.041,0.12,3.37
Ⅳ类,32.5,7.28,4.76,325.3,24.6,4.02,0.423,0.056,1.84
Ⅲ类,30.4,8.48,6.49,367.7,10.9,4.87,0.012,0.062,2.45
Ⅲ类,30.7,6.98,5.88,143.0,17.0,3.1,0.152,0.085,2.36
Ⅴ类,32.7,6.9,2.69,383.3,84.6,3.85,0.056,0.127,3.1
Ⅱ类,31.8,7.35,6.73,179.3,14.5,2.44,0.068,0.047,3.26
Ⅳ类,30.0,7.23,5.44,503.5,8.5,4.47,0.875,0.205,4.78
Ⅳ类,33.5,7.12,3.07,370.6,6.5,3.46,0.09,0.162,2.68
Ⅲ类,31.8,7.23,6.07,319.3,13.2,3.2,0.235,0.152,3.16
Ⅱ类,28.4,7.84,7.92,151.9,34.9,2.3,0.071,0.083,2.24
Ⅱ类,30.7,7.83,9.68,149.2,4.1,1.5,0.02,0.028,1.24
Ⅲ类,32.2,7.66,8.25,309.2,13.3,3.97,0.083,0.147,3.41
Ⅲ类,31.4,8.58,10.9,223.3,6.7,3.53,0.108,0.133,2.39
